runs,country,dayofyear,time,residual,subset
h088,SWE,334,2009-11-30 12:00:00,-0.24684416817644408,all sets
h089,SWE,334,2009-11-30 12:00:00,-0.003660401113803414,all sets
h090,SWE,334,2009-11-30 12:00:00,-0.11623364351857655,all sets
h091,SWE,334,2009-11-30 12:00:00,-0.051433931830067954,all sets
h092,SWE,334,2009-11-30 12:00:00,0.08728595617702199,all sets
h093,SWE,334,2009-11-30 12:00:00,0.10679389039048723,all sets
h094,SWE,334,2009-11-30 12:00:00,-0.14277995007986533,all sets
h095,SWE,334,2009-11-30 12:00:00,0.06877464056669293,all sets
h096,SWE,334,2009-11-30 12:00:00,0.31897786394701627,all sets
h097,SWE,334,2009-11-30 12:00:00,0.03765306998848216,all sets
h098,SWE,334,2009-11-30 12:00:00,0.30943668793534745,all sets
h099,SWE,334,2009-11-30 12:00:00,-0.15207254685975027,all sets
h100,SWE,334,2009-11-30 12:00:00,-0.018966226381520873,all sets
h101,SWE,334,2009-11-30 12:00:00,-0.25469298251489436,all sets
h102,SWE,334,2009-11-30 12:00:00,0.1840128513837577,all sets
h103,SWE,334,2009-11-30 12:00:00,0.19662830065136513,all sets
h104,SWE,334,2009-11-30 12:00:00,0.035675207581904955,all sets
h105,SWE,334,2009-11-30 12:00:00,-0.0926821753249908,all sets
h106,SWE,334,2009-11-30 12:00:00,-0.18273844389443666,all sets
h107,SWE,334,2009-11-30 12:00:00,-0.3564298996797685,all sets
h108,SWE,334,2009-11-30 12:00:00,-0.06149717143550696,all sets
h109,SWE,334,2009-11-30 12:00:00,-0.07174472281994178,all sets
h110,SWE,334,2009-11-30 12:00:00,-0.15816789165284484,all sets
h111,SWE,334,2009-11-30 12:00:00,0.22352012955196987,all sets
h112,SWE,334,2009-11-30 12:00:00,-0.14746913996237215,all sets
h113,SWE,334,2009-11-30 12:00:00,-0.15598615805833194,all sets
h114,SWE,334,2009-11-30 12:00:00,-0.3176850336982487,all sets
h115,SWE,334,2009-11-30 12:00:00,-0.2719553453275907,all sets
h116,SWE,334,2009-11-30 12:00:00,-0.15399599166657635,all sets
h117,SWE,334,2009-11-30 12:00:00,0.03908866504387353,all sets
h118,SWE,334,2009-11-30 12:00:00,0.47045442255389636,all sets
h119,SWE,334,2009-11-30 12:00:00,-0.40381912484382076,all sets
h120,SWE,334,2009-11-30 12:00:00,0.09904301682451731,all sets
h121,SWE,334,2009-11-30 12:00:00,-0.04425492504812274,all sets
h122,SWE,334,2009-11-30 12:00:00,0.04751159936928782,all sets
h123,SWE,334,2009-11-30 12:00:00,-0.31954863108887244,all sets
h124,SWE,334,2009-11-30 12:00:00,-0.0867491874692092,all sets
h125,SWE,334,2009-11-30 12:00:00,0.0165684615903358,all sets
h126,SWE,334,2009-11-30 12:00:00,-0.003402119041841824,all sets
h127,SWE,334,2009-11-30 12:00:00,-0.32579327896246185,all sets
h128,SWE,334,2009-11-30 12:00:00,-0.013931231182537673,all sets
h129,SWE,334,2009-11-30 12:00:00,-0.2700955227341702,all sets
h130,SWE,334,2009-11-30 12:00:00,-0.3234793246867272,all sets
h131,SWE,334,2009-11-30 12:00:00,-0.4383414333040243,all sets
h132,SWE,334,2009-11-30 12:00:00,-0.2912192918243056,all sets
h133,SWE,334,2009-11-30 12:00:00,-0.44033434915277553,all sets
h134,SWE,334,2009-11-30 12:00:00,-0.15388293265181358,all sets
