runs,year,Ein,netto_demand,country
h015,2004,329327.8498254315,309388.6573559846,35.0
h015,2005,386555.73055867205,301652.8952665326,35.0
h015,2006,469958.7345440183,304357.73590297054,35.0
h015,2007,539868.4058889666,297444.73898389016,35.0
h015,2008,543267.3809830684,294440.0894842124,35.0
h015,2009,477547.8996644615,296451.7773799541,35.0
h016,2000,562875.4421817455,305232.8199552843,35.0
h016,2001,381416.6423786309,298079.97326691175,35.0
h016,2002,339683.11335617007,310900.4260183845,35.0
h016,2003,472919.4999793234,294183.0215118074,35.0
h016,2004,319219.5859486766,303677.23647006263,35.0
h016,2005,579712.4352345216,288484.61057819624,35.0
h016,2006,546303.6539195364,316504.97397491825,35.0
h016,2007,350508.39038187236,287709.0899912009,35.0
h016,2008,391020.25621103717,301104.0048997799,35.0
h016,2009,483086.35920799524,296053.7360756398,35.0
h017,2000,474116.5437002433,293138.4146660822,35.0
h017,2001,436915.01157033973,304981.6121140061,35.0
h017,2002,339819.0926183939,301805.1044564897,35.0
h017,2003,419059.1584445427,299967.45668873895,35.0
h017,2004,442778.7712933692,296293.2776244385,35.0
h017,2005,466296.90794303495,304673.51066871994,35.0
h017,2006,631984.9783552594,296000.1821989455,35.0
h017,2007,385716.3033847748,292932.59743610024,35.0
h017,2008,324481.6151929983,294219.82878516184,35.0
h017,2009,395273.13355600275,294306.86072178336,35.0
h018,2000,455022.818984316,312451.7958090193,35.0
h018,2001,402067.4075234551,307260.5444695248,35.0
h018,2002,527596.7736117996,294225.7340124705,35.0
h018,2003,439328.88166805246,320931.24600529583,35.0
h018,2004,593184.0382072388,305593.96402468084,35.0
h018,2005,500957.39451604645,299070.2728471177,35.0
h018,2006,392311.4664303435,312376.9759254416,35.0
h018,2007,343248.07139040786,306457.54867640726,35.0
h018,2008,462781.08100994775,298367.9213064082,35.0
h018,2009,478388.10590884637,296599.0911166332,35.0
h019,2000,380466.5920164582,296198.80689438444,35.0
h019,2001,399115.6147561163,294501.5220486156,35.0
h019,2002,468621.0132445135,298624.2011224227,35.0
h019,2003,375734.597539049,294808.50431668333,35.0
h019,2004,378074.51569962606,289025.0275001361,35.0
h019,2005,372974.0871148928,303092.36744102574,35.0
h019,2006,489296.10999728594,294284.9925452509,35.0
h019,2007,441371.96315054223,300991.77101874433,35.0
h019,2008,468187.5229930033,294432.7147750801,35.0
h019,2009,390010.97060840693,292303.7340631293,35.0
h020,2000,465632.25995404454,301298.10033679643,35.0
h020,2001,385005.58289953036,307943.6638512372,35.0
h020,2002,413705.8427143012,310148.9880881748,35.0
h020,2003,364373.48328107933,302663.1821687142,35.0
h020,2004,472230.0359715494,305241.8994097002,35.0
h020,2005,425515.17936597415,310277.4815077043,35.0
h020,2006,258477.90183198135,313633.12096472445,35.0
h020,2007,447543.69033664634,312325.0496678623,35.0
h020,2008,313500.83682996116,320142.9002578625,35.0
h020,2009,374081.1480816362,315214.7154106008,35.0
h021,2000,491441.3520258037,323333.66612250905,35.0
h021,2001,429340.144847,303941.30028023006,35.0
h021,2002,381780.1363636951,300782.45436810807,35.0
h021,2003,283461.3333642871,311898.965514283,35.0
h021,2004,499016.09347349964,299235.5792321058,35.0
h021,2005,278274.87385965127,309027.3149376165,35.0
h021,2006,341775.05034643936,308822.1569811608,35.0
h021,2007,548329.8539920687,308602.46246921545,35.0
h021,2008,521970.5980480866,294969.2528524131,35.0
h021,2009,372375.5496483305,296752.00569616986,35.0
h022,2000,574258.0667550087,286814.6821744656,35.0
h022,2001,353940.4286091623,316918.72001623776,35.0
h022,2002,404354.3603017876,316608.16313728003,35.0
h022,2003,410510.8546697105,301612.3802480812,35.0
h022,2004,552596.0245150473,290013.05984468444,35.0
h022,2005,376678.6577270201,301380.9001328162,35.0
h022,2006,446218.83784944226,317377.46935321536,35.0
h022,2007,452618.68218040525,303772.50126865826,35.0
h022,2008,373794.7730835481,295904.71768451587,35.0
h022,2009,374099.4491809555,300953.6993046775,35.0
h023,2000,598356.6359141017,310166.0945428229,35.0
h023,2001,583822.4769238279,297889.7338288001,35.0
h023,2002,340176.8083125073,302180.8880485548,35.0
h023,2003,560106.8563956507,292196.3265181958,35.0
h023,2004,427994.7022071154,292734.88315449376,35.0
h023,2005,428869.6466641909,316608.508101344,35.0
h023,2006,332209.9489703254,311063.35911134316,35.0
h023,2007,446258.41142877523,304558.328819827,35.0
h023,2008,430608.9780746924,305779.4901317286,35.0
h023,2009,289963.66423879063,310324.6151130171,35.0
h024,2000,528217.9273442344,317520.7317496858,35.0
h024,2001,414312.5601608137,312061.1178961397,35.0
h024,2002,541422.266169833,308683.78099371516,35.0
h024,2003,319183.1266265425,300486.12616077776,35.0
h024,2004,528083.7165687389,314132.2337918217,35.0
h024,2005,495508.88118143805,305637.661682395,35.0
h024,2006,459050.15294907027,304093.79994037445,35.0
h024,2007,580800.9604416922,297605.77403979126,35.0
h024,2008,365784.71143033553,318561.58570510603,35.0
h024,2009,339805.5970660032,290347.3552881194,35.0
h025,2000,382447.8374133459,304529.26184828894,35.0
h025,2001,506562.14644885797,300526.5506189546,35.0
h025,2002,403000.99907208356,306749.66681943403,35.0
h025,2003,251886.1877259119,303371.3994524037,35.0
h025,2004,456667.8982090947,304239.4623064567,35.0
h025,2005,395753.9396790413,294555.5446397463,35.0
h025,2006,417762.60908745986,294329.3893405462,35.0
h025,2007,339476.2681568087,303899.5382663377,35.0
h025,2008,552736.4161082334,305443.67073315365,35.0
h025,2009,483740.3666388917,292572.2642422874,35.0
h026,2000,458878.2781307167,306864.4517692908,35.0
h026,2001,388662.800112607,307537.41222223465,35.0
h026,2002,463560.44620320847,300456.2423724326,35.0
h026,2003,472042.3432885717,299524.1021529269,35.0
h026,2004,475082.9250030114,307973.8188221629,35.0
h026,2005,506111.3332893291,304721.207806569,35.0
h026,2006,357407.2334304993,304572.0652828819,35.0
h026,2007,535808.8781162029,293016.7489111406,35.0
h026,2008,339711.85006187897,321919.2382571437,35.0
h026,2009,475951.88324330415,287531.19293391117,35.0
h027,2000,426721.626104014,304889.13603974134,35.0
h027,2001,476315.9744023699,308353.3606675367,35.0
h027,2002,206404.06564504435,324563.6909536893,35.0
h027,2003,644104.5385185112,291374.69696162466,35.0
h027,2004,282858.85492863343,299872.58610140975,35.0
h027,2005,343858.073653022,302267.80182968645,35.0
h027,2006,336825.996780971,305665.7026290844,35.0
h027,2007,413782.84724492166,300443.51301471755,35.0
h027,2008,462492.7029266666,284966.99187796115,35.0
h027,2009,444355.21729416866,291361.7765877823,35.0
h028,2000,525291.9283154974,310075.7146538089,35.0
h028,2001,567244.7110750525,291030.42573243025,35.0
h028,2002,595761.093016786,297540.5167524859,35.0
h028,2003,466295.2055706645,316064.8963161685,35.0
h028,2004,505720.18440135865,297935.4357450964,35.0
h028,2005,512346.7486834084,310994.74153049634,35.0
h028,2006,459939.10529273556,287583.3716929682,35.0
h028,2007,369206.9953758775,314344.30533624854,35.0
h028,2008,409344.6242599828,319514.4691433661,35.0
h028,2009,388939.0344098966,298491.9773406145,35.0
h029,2000,559285.7817086038,308959.45825744525,35.0
h029,2001,677676.6573080253,294378.7255555255,35.0
h029,2002,598850.6701944083,292228.7953793843,35.0
h029,2003,329633.69770789,326195.37335972424,35.0
h029,2004,523009.99068615003,300272.2313771415,35.0
h029,2005,272748.8688690583,330804.45245622715,35.0
h029,2006,387734.58308628213,302424.9222642425,35.0
h029,2007,476532.4602653227,309214.9338309894,35.0
h029,2008,351659.7487438056,315689.0549717073,35.0
h029,2009,393086.45971681864,306981.8041346511,35.0
h030,2000,440384.6559617069,298769.97333929094,35.0
h030,2001,345889.5253651707,309630.29660960735,35.0
h030,2002,464757.9493310758,292193.4255205545,35.0
h030,2003,411439.41834099684,302857.14611256437,35.0
h030,2004,389668.7456383555,318035.92296739045,35.0
h030,2005,468552.167235462,304639.23396741506,35.0
h030,2006,328617.63204424526,324769.7328093245,35.0
h030,2007,388763.44585678,314378.3423994856,35.0
h030,2008,390535.2218296342,294476.97776136757,35.0
h030,2009,506434.7421492533,301511.51259709615,35.0
h031,2000,344957.66045822937,306747.2412833434,35.0
h031,2001,523535.33197809284,297366.2456384665,35.0
h031,2002,496776.8122277982,302302.10888686014,35.0
h031,2003,287832.50120204873,297070.0039910574,35.0
h031,2004,519627.91307441314,297209.11884422903,35.0
h031,2005,269709.3761670175,308456.8320481277,35.0
h031,2006,461143.88279771403,298390.6335028496,35.0
h031,2007,454134.7851082437,292479.1960276819,35.0
h031,2008,144249.4001698334,310905.89867140335,35.0
h031,2009,441431.7842721635,290183.0352431785,35.0
h032,2000,413232.1023881828,294184.35717237846,35.0
